"HolderAddress","Balance","PendingBalanceUpdate"
"0x63f9f74779e6d32a43ee4e1e3ee2f4132d023dc6","60000","No"
"0x654f7ff1ad2ede7166d5c427084c6b8e6290534b","23668722.6872131","No"
"0x670e5c57e647ce436b590997a2f2571186d405c8","60000","No"
"0x6750ab03c5c66513731aee42bb76d1772542e0bf","60000","No"
"0x67da0b6fd9e27a62a6ebda9555047a033824ec59","60000","No"
"0x6841296d62b22772d1188bb0ff2ae13a13c15d23","60000","No"
"0x6d0eef5de268afb2ece724609f202d6b662258c2","60000","No"
"0x6dcdc1c65a921a485291f307f5330de5bb33f4ee","60000","No"
"0x7142d9d10001f2eff21f50124033fb6f8c51a686","60000","No"
"0x736df37fb2e8c805a246b28f3e5b0ad8f793da02","60000","No"
"0x74be406bb6494569a21cb907e70024558728bb2c","60000","No"
"0x754c25d3a50bd1245deb20bce9bb4e7004cf2d25","60000","No"
"0x772308a6baf2aeee106b88be66cbd3eff7c6a064","60000","No"
"0x78f83b41e648e08cdf823c02de0e320fc5f34ca7","60000","No"
"0x790544d145a730b4d929b35f1a052872b71e1c74","60000","No"
"0x790de963b123fd64ac30afd1fd19303e46900d68","60000","No"
"0x791cc852e14de4e5ea2e4e3e65263bbe1ddf6bec","60000","No"
"0x7957f96432e8cac2f6819fd82beb309a57b90d0e","60000","No"
"0x79b545b249d74051943998d9306ef7ad029363df","60000","No"
"0x7a4d1e4d03e9fb2007998e00f566e6b874458a2e","60000","No"
"0x7b38ef0158471c0bdb891fab015dc6fc446bed1c","60000","No"
"0x7c95e4711ec88b63fb7edbd2878fe1efc5755790","60000","No"
"0x7db20ffb2dde829671c6a3a4c3ea39bce181a7e7","60000","No"
"0x7ec418f36077006d5019e9226a0b9702256d97f3","60000","No"
"0x80e49181dd74c2b4655ebee79b7b4b6c42d78c18","60000","No"
"0x81aeba2bd7775732ec0468522734f5fbde2d5344","60000","No"
"0x8a92e3b53e8615d744b936ca4cfa0c1ce8da6a46","60000","No"
"0x8c175f5d21e7733ef028a5618e9961431f79c590","60000","No"
"0x8df3af6c59d1d41519998215d537436d5f47cc54","60000","No"
"0x8df3e2e70aa58cc5d14a7036b31eab0e227b3a20","60000","No"
"0x8df5710dbc18b3be43d5daa75ff6713ba3d0b579","60000","No"
"0x8fead72e56e86b37b9d45b3b9780b9718b9cd9ca","60000","No"
"0x903a5b5b350b635135125099e8296d4960bc8077","60000","No"
"0x91f4b8928c20914bd9a36d35773dedcb59508c7d","60000","No"
"0x94617fcc30ac2ca67835a5add49cc2400bf4cf4b","60000","No"
"0x9548be256ad69318a65a87c4ec8f643d7b22b263","60000","No"
"0x95d1cd994aa20fac9a7ed89efa525a02d2739bca","60000","No"
"0x95dafe8eb02c543a74e85f65651dbb4947e71945","60000","No"
"0x95e14f8f2fc3102b3cf9c4b9bec3c527251a57c5","60000","No"
"0x96a041c5486edbcb85cfd7cfe589c9aadc022445","60000","No"
"0x9a0bc171bbc44cfd14fab298939f06abb66800bb","60000","No"
"0x9b01fbabb7294ffaa533ab6f3b1049fe51dd7c4b","60000","No"
"0x9d5a3b8d4df9e7307bb311c16d4130fdf56e1ae8","30000","No"
"0x9e53a7ed87411c15995bde994a1718879d49f7c4","60000","No"
"0x9fefd55674ebc732075ee6e361b696e891633724","60000","No"
"0xa27b755e9642a834e0cf8b69c16e026a56a77051","60000","No"
"0xa37dffc7a80dbca08629ee367939209261ec1055","60000","No"
"0xa78badba315facc49319f0bfb580ba5c8f520dc9","60000","No"
"0xa78bb246ba8d6f7b7189d35c16533ca1aeb41159","60000","No"
"0xaaf83a60510ea6d5c16e518a93fa2e5642402be7","60000","No"
"0xac61a8a67a478070460b0c837b40c76d2bb74066","60000","No"
"0xac7ce448e5c4d71535593825a17b0c91455d74ac","60000","No"
"0xb0d9dc7f7b4bb88aa55437e288380e77d2eed7b1","60000","No"
"0xb1e54d5bb1ce7ad82151cc3a683357f2c6480faf","60000","No"
"0xb24127f171a50bf03d6bb62cc181031cb4122401","60000","No"
"0xb2bc7fa6f04ea7ea8b8c97c7497dbd4cf05f3715","60000","No"
"0xb4873e17ff95c01b46cd2b8f51b0b4e38a2d2773","60000","No"
"0xb53a64b50b0206a02003a4001ea31713f5c29e55","60000","No"
"0xb5fc1a317a3ef644681323363eb954ebc63d3091","60000","No"
"0xb6ffbefffb6a3ba4fb2d8bead770ccdcde678a3e","60000","No"
"0xb7d8d9f451ac49084675fbafc7c96185d79b5cda","60000","No"
"0xb85d144fd91dbd9a3394dfe7c160b3d8c6108b49","60000","No"
"0xb8fb129642148c964230768826e3ccbb23d7c68e","60000","No"
"0xbc83e4260ab3421961c37b8d54b30c59f427d871","60000","No"
"0xbc8deed38214228b7868beab808af9af68ac6dff","60000","No"
"0xbd251f2d6e8132d44d076f12e0520f2bc74b0013","60000","No"
"0xbeb8a4fa2c31bff26376275bd4f0be4d9081a3a3","60000","No"
"0xbf25dbaf8829b73167ab18ba0da8785fd14c2239","60000","No"
"0xc04299efaac024a61e26f2ed46431a88727fabbe","60000","No"
"0xc043fcdf6287560f01dc09f99e02221086566f8d","60000","No"
"0xc3383722bf4bffe95eb95ff012cfd87768d31fc6","60000","No"
"0xc44a45a9b4c0d1b543182183d51b9b64654b832e","60000","No"
"0xc6ce49f6047eba65aaacf36a8c5216f14c15c987","60000","No"
"0xc7f6a119671dfc5eb704010f9d4c1fa3ec477b31","60000","No"
"0xc81cb0b822c2e9bc9f37230aa7601c42bc5e9b7f","60000","No"
"0xc8515ae44607c9a418522c4bc8b6032b4464e1b1","60000","No"
"0xc8b3d70de9ea230872282b01c1b581e0fabf6718","60000","No"
"0xcb2453b34436745537d5adc4c27f53118a153950","60000","No"
"0xcd832fe03560ffed652ae91d95e0d454f127c41e","60000","No"
"0xcf7b09a88c34d0cfe2d1338408c4ebc83bee27d4","60000","No"
"0xcf83e22c9fd492f88a90e14e1ef2c9360cf672a3","60000","No"
"0xd1d7280d3598b8d8ad43090e0430b3dcad7bb0f3","39880000","No"
"0xd3214bcbf2178753f767e4a4aa29a9c2f37c0d94","60000","No"
"0xd4a986f9c8b40e4d06df73fc33b584e2e5d081a6","60000","No"
"0xd4aa197a411c222caede00da0c7c14693935abc9","60000","No"
"0xd64b0c233f7d62af5dbf678d32a251f3e006fa3d","60000","No"
"0xd64f962849e944ae32fb4a424b35fc5354ae8488","60000","No"
"0xd873d47495e2c9f8b17580cc322fa4a8057cafae","60000","No"
"0xd8d415806d20a7d1d28758c6bd73285ef2657888","60000","No"
"0xd925bfd85c163081113b38754be18b8875c1ac92","60000","No"
"0xda885ea9e411e1db661512be28b8ca9252047a75","59999.99","No"
"0xdb4363943f908c20e334d9345ba91dcc27d7f9f2","60000","No"
"0xdbcdfbe61256ab8ba57ef856dd754d890a9aa395","60000","No"
"0xdbf9c28336f458f16c72a5d8fee70915687ef0fa","15000","No"
"0xdd86bf0e41c903ab58a55208e9542719fea9b4c7","18000","No"
"0xdf6aaedf2c1dfd4d51acc3a829d9f79938a6c0ac","60000","No"
"0xe00cfe8c7b83064874c06e3c79f5c0974a61b6b7","60000","No"
"0xe03572c07143d3417f8692073750e7cc584c7be7","15000","No"
"0xe2399ca724d4a32bb55fa52bba403efa7f08cd7a","60000","No"
"0xe305185a31a89f92ed107c62c230b61d802c5b70","60000","No"
"0xe5942331070e92a4bbdd27aac13e867898a093de","60000","No"
"0xe5d8feb5ef28b01de62fb72ded6a6ff4c5913d7b","60000","No"
"0xe5ff5d94a9c70584a6b7e635f7fabef36785bf10","60000","No"
"0xe62f81bdc1eeb507548aeed53c09c9b42729ac97","42000","No"
"0xe7086921269acbf501d64bf315489be81edf02ef","60000","No"
"0xe77a3de9453b91a7f4ee28e3564101fe699e0188","60000","No"
"0xe8dbded8ac0b3afb03c4140dc6bc96ca96dc2abc","60000","No"
"0xeadcbd837f633d27bd665a3c5ab7cfb25cfb6d62","60000","No"
"0xedf4a67cdab28ff077baa6c5869968e579b4b123","3000","No"
"0xefd84a9ef9eb7bbfab83d673496e5ca0c688e75e","60000","No"
"0xeff7e6ce4b51e41ef0320f84e1c0699a884e34aa","60000","No"
"0xf0ee97dc03cdb0f58e74166b392e8de88ac8bafc","60000","No"
"0xf1129742ad0d42d636dc814da99e1b30fc0b1483","60000","No"
"0xf3d08683e9a205cd0b89cbcc566cb498a26b4c75","60000","No"
"0xf533a2a8d2ba5b255c2176b4efda7cb8b426393b","60000","No"
"0xf5ee85af92d3c3dfd1d7626dbfa26f5715e90c49","60000","No"
"0xf775194cfa920deaf20813455475bd82e0bf8180","60000","No"
"0xf7bbf156129afb1a0f91170db4ff9aaf9150db79","60000","No"
"0xf7ef4a3ab05d61317d2b37006c54229c8deb6b77","60000","No"
"0xf84d3e1faf1fbea2d784772160a6e23cf4c8cf41","60000","No"
"0xf932108f0335c73fec90dcf6fdff2153e967f4d5","60000","No"
"0xf986dcc3ef8a6b45615d6f680a6f93ba2159963f","60000","No"
"0xf9e7720814d63a1280a2a586adfa87a8f4b9bf70","60000","No"
"0xfa70be2aa957b9bddac656af68a01d45ef5bcbcb","60000","No"
"0xfa8d89138b98503e72420f9c88d86447429de2aa","60000","No"
"0xfbbf1636ed06da0d178f851b79bd845fccf5e780","60000","No"
"0xfc95dc59794fa6605908f3fcef86903cc2b06d67","60000","No"
"0xfe223a449219cc07ef5c631a131a3f2971f795fd","60000","No"
"0xfe8c00b9fc5fa1b23710aef3cebb05014cef5bd8","60000","No"
"0xff8c44ed405548f203598fcde02cf94288e6e09c","44400","No"
